start time;end time;elapsed utime;curr pitch;curr yaw;pwm pitch;pwm yaw
1780907628672142;1780907628672143;1;500;-500;-0.990000;-0.990000
1780907628682480;1780907628682481;1;500;-500;-0.990000;-0.990000
1780907628692707;1780907628692709;2;500;-500;-0.990000;-0.990000
1780907628702963;1780907628702964;1;500;-500;-0.990000;-0.990000
1780907628713137;1780907628713138;1;500;-500;-0.990000;-0.990000
1780907628723298;1780907628723299;1;500;-500;-0.990000;-0.990000
1780907628733514;1780907628733515;1;500;-500;-0.990000;-0.990000
1780907628743755;1780907628743756;1;500;-500;-0.990000;-0.990000
1780907628753981;1780907628753982;1;500;-500;-0.990000;-0.990000
1780907628764119;1780907628764120;1;500;-500;-0.990000;-0.990000
1780907628774304;1780907628774305;1;500;-500;-0.990000;-0.990000
1780907628784531;1780907628784532;1;500;-500;-0.990000;-0.990000
1780907628794820;1780907628794821;1;500;-500;-0.990000;-0.990000
1780907628805089;1780907628805090;1;500;-500;-0.990000;-0.990000
1780907628815291;1780907628815292;1;500;-500;-0.990000;-0.990000
1780907628825498;1780907628825499;1;500;-500;-0.990000;-0.990000
1780907628835710;1780907628835711;1;500;-500;-0.990000;-0.990000
1780907628845926;1780907628845927;1;500;-500;-0.990000;-0.990000
1780907628856152;1780907628856153;1;500;-500;-0.990000;-0.990000
1780907628866354;1780907628866355;1;500;-500;-0.990000;-0.990000
1780907628876591;1780907628876593;2;500;-500;-0.990000;-0.990000
1780907628886844;1780907628886915;71;500;-500;-0.990000;-0.990000
1780907628897154;1780907628897155;1;500;-500;-0.990000;-0.990000
1780907628907383;1780907628907384;1;500;-500;-0.990000;-0.990000
1780907628917573;1780907628917573;0;500;-500;-0.990000;-0.990000
1780907628927796;1780907628927797;1;500;-500;-0.990000;-0.990000
1780907628938046;1780907628938048;2;500;-500;-0.990000;-0.990000
1780907628948385;1780907628948386;1;500;-500;-0.990000;-0.990000
1780907628958743;1780907628958744;1;500;-500;-0.990000;-0.990000
1780907628968927;1780907628968927;0;500;-500;-0.990000;-0.990000
1780907628979161;1780907628979162;1;500;-500;-0.990000;-0.990000
1780907628989363;1780907628989363;0;500;-500;-0.990000;-0.990000
1780907628999595;1780907628999596;1;500;-500;-0.990000;-0.990000
1780907629009833;1780907629009835;2;500;-500;-0.990000;-0.990000
1780907629020108;1780907629020109;1;500;-500;-0.990000;-0.990000
1780907629030344;1780907629030346;2;500;-500;-0.990000;-0.990000
1780907629040575;1780907629040576;1;500;-500;-0.990000;-0.990000
1780907629050800;1780907629050801;1;500;-500;-0.990000;-0.990000
1780907629061147;1780907629061148;1;500;-500;-0.990000;-0.990000
1780907629071362;1780907629071363;1;500;-500;-0.990000;-0.990000
1780907629081651;1780907629081653;2;500;-500;-0.990000;-0.990000
1780907629091900;1780907629091902;2;500;-500;-0.990000;-0.990000
1780907629102230;1780907629102231;1;500;-500;-0.990000;-0.990000
1780907629112448;1780907629112449;1;500;-500;-0.990000;-0.990000
1780907629122692;1780907629122694;2;500;-500;-0.990000;-0.990000
1780907629132889;1780907629132890;1;500;-500;-0.990000;-0.990000
1780907629143219;1780907629143220;1;500;-500;-0.990000;-0.990000
1780907629153529;1780907629153529;0;500;-500;-0.990000;-0.990000
1780907629163704;1780907629163705;1;500;-500;-0.990000;-0.990000
1780907629173993;1780907629173994;1;500;-500;-0.990000;-0.990000
1780907629184224;1780907629184225;1;500;-500;-0.990000;-0.990000
1780907629194985;1780907629194986;1;500;-500;-0.990000;-0.990000
1780907629205193;1780907629205194;1;500;-500;-0.990000;-0.990000
1780907629215541;1780907629215542;1;500;-500;-0.990000;-0.990000
1780907629225708;1780907629225710;2;500;-500;-0.990000;-0.990000
1780907629235983;1780907629235984;1;500;-500;-0.990000;-0.990000
1780907629246127;1780907629246128;1;500;-500;-0.990000;-0.990000
1780907629256366;1780907629256367;1;500;-500;-0.990000;-0.990000
1780907629266709;1780907629266710;1;500;-500;-0.990000;-0.990000
1780907629276882;1780907629276883;1;500;-500;-0.990000;-0.990000
1780907629287115;1780907629287116;1;500;-500;-0.990000;-0.990000
1780907629297263;1780907629297264;1;500;-500;-0.990000;-0.990000
1780907629307444;1780907629307444;0;500;-500;-0.990000;-0.990000
1780907629317698;1780907629317699;1;500;-500;-0.990000;-0.990000
1780907629327915;1780907629327916;1;500;-500;-0.990000;-0.990000
1780907629338183;1780907629338184;1;500;-500;-0.990000;-0.990000
1780907629348427;1780907629348428;1;500;-500;-0.990000;-0.990000
1780907629358688;1780907629358690;2;500;-500;-0.990000;-0.990000
1780907629369013;1780907629369014;1;500;-500;-0.990000;-0.990000
1780907629379224;1780907629379226;2;500;-500;-0.990000;-0.990000
1780907629389559;1780907629389560;1;500;-500;-0.990000;-0.990000
1780907629399784;1780907629399785;1;500;-500;-0.990000;-0.990000
1780907629410022;1780907629410023;1;500;-500;-0.990000;-0.990000
1780907629420378;1780907629420379;1;500;-500;-0.990000;-0.990000
1780907629430643;1780907629430645;2;500;-500;-0.990000;-0.990000
1780907629440871;1780907629440872;1;500;-500;-0.990000;-0.990000
1780907629450976;1780907629450976;0;500;-500;-0.990000;-0.990000
1780907629461299;1780907629461301;2;500;-500;-0.990000;-0.990000
1780907629471661;1780907629471662;1;500;-500;-0.990000;-0.990000
1780907629481907;1780907629481908;1;500;-500;-0.990000;-0.990000
1780907629492221;1780907629492224;3;500;-500;-0.990000;-0.990000
1780907629502580;1780907629502581;1;500;-500;-0.990000;-0.990000
1780907629512853;1780907629512855;2;500;-500;-0.990000;-0.990000
1780907629523067;1780907629523068;1;500;-500;-0.990000;-0.990000
1780907629533261;1780907629533263;2;500;-500;-0.990000;-0.990000
1780907629543495;1780907629543497;2;500;-500;-0.990000;-0.990000
1780907629553746;1780907629553747;1;500;-500;-0.990000;-0.990000
1780907629563893;1780907629563894;1;500;-500;-0.990000;-0.990000
1780907629574253;1780907629574254;1;500;-500;-0.990000;-0.990000
1780907629584453;1780907629584454;1;500;-500;-0.990000;-0.990000
1780907629594668;1780907629594669;1;500;-500;-0.990000;-0.990000
1780907629604818;1780907629604819;1;500;-500;-0.990000;-0.990000
1780907629615066;1780907629615067;1;500;-500;-0.990000;-0.990000
1780907629625372;1780907629625373;1;500;-500;-0.990000;-0.990000
1780907629635600;1780907629635602;2;500;-500;-0.990000;-0.990000
1780907629645822;1780907629645823;1;500;-500;-0.990000;-0.990000
1780907629656053;1780907629656054;1;500;-500;-0.990000;-0.990000
1780907629666257;1780907629666258;1;500;-500;-0.990000;-0.990000
1780907629676466;1780907629676467;1;500;-500;-0.990000;-0.990000
1780907629686676;1780907629686677;1;500;-500;-0.990000;-0.990000
1780907629696808;1780907629696809;1;500;-500;-0.990000;-0.990000
1780907629706919;1780907629706920;1;500;-500;-0.990000;-0.990000
1780907629717060;1780907629717060;0;500;-500;-0.990000;-0.990000
1780907629727220;1780907629727221;1;500;-500;-0.990000;-0.990000
